"treenum"	"date"	"HMS"	"obsnum"	"time"	"photo"	"cond"	"ci"	"trmmol"	"VpdL"	"Area"	"StmRat"	"BLCond"	"Tair"	"Tleaf"	"TBlk"	"CO2R"	"CO2S"	"H2OR"	"H2OS"	"RH_R"	"RH_S"	"Flow"	"PARi"	"PARo"	"Press"	"C2Mch"	"H2Mch"
33	7/3/1998 0:00:00	12/30/1899 14:35:41	1.00	19.96	17.40	0.29	233.00	3.43	1.27	6.00	0.00	1.42	27.11	25.69	27.44	393.60	349.00	13.51	21.56	35.45	56.57	250.00	1200.00	1.84	94.53	0.00	0.08
33	7/3/1998 0:00:00	12/30/1899 14:35:41	2.00	35.71	19.00	0.29	218.00	3.46	1.29	6.00	0.00	1.42	26.79	25.79	27.72	393.10	344.60	13.52	21.64	36.15	57.87	250.20	1200.00	0.04	94.53	0.00	0.08
30	7/3/1998 0:00:00	12/30/1899 14:15:39	1.00	12.70	21.60	0.36	229.00	3.82	1.20	6.00	0.00	1.42	26.31	25.92	26.70	404.20	349.00	13.89	22.86	38.22	62.91	249.80	1200.00	0.60	94.54	0.00	0.08
30	7/3/1998 0:00:00	12/30/1899 14:15:39	2.00	32.95	21.90	0.37	227.00	3.83	1.20	6.00	0.00	1.42	26.30	25.91	26.70	404.10	348.40	13.88	22.85	38.20	62.91	250.10	1199.00	0.42	94.55	0.00	0.08
21	7/2/1998 0:00:00	12/30/1899 15:21:24	1.00	4.19	11.60	0.26	263.00	2.27	0.95	6.00	0.00	1.42	18.06	19.66	17.13	364.30	349.50	11.57	14.26	52.52	64.73	500.20	1201.00	0.19	94.40	2.50	0.55
21	7/2/1998 0:00:00	12/30/1899 15:21:24	2.00	34.19	11.70	0.26	262.00	2.27	0.95	6.00	0.00	1.42	18.10	19.68	17.13	364.30	349.30	11.61	14.29	52.57	64.75	500.40	1201.00	0.30	94.40	2.50	0.55
20	7/2/1998 0:00:00	12/30/1899 15:09:28	1.00	127.95	3.51	0.28	323.00	2.09	0.82	6.00	0.00	1.42	18.17	18.19	17.13	356.30	351.20	10.94	13.41	49.32	60.48	500.40	49.16	0.31	94.40	2.50	0.55
20	7/2/1998 0:00:00	12/30/1899 15:09:28	2.00	223.20	3.49	0.28	323.00	2.08	0.81	6.00	0.00	1.42	17.88	18.20	16.53	356.20	351.10	11.10	13.56	50.95	62.24	500.30	48.87	0.44	94.39	2.50	0.55
21	7/2/1998 0:00:00	12/30/1899 15:15:09	1.00	158.70	2.71	0.24	326.00	1.91	0.84	6.00	0.00	1.42	18.54	18.49	17.49	354.60	350.60	11.43	13.69	50.35	60.32	500.50	50.13	0.15	94.40	2.50	0.55
21	7/2/1998 0:00:00	12/30/1899 15:15:09	2.00	184.95	2.84	0.24	324.00	1.87	0.83	6.00	0.00	1.42	18.36	18.36	17.29	354.60	350.40	11.43	13.64	50.93	60.77	500.30	50.06	1.25	94.39	2.50	0.55
18	7/2/1998 0:00:00	12/30/1899 15:28:01	1.00	39.44	16.40	0.24	220.00	2.39	1.06	6.00	0.00	1.42	19.32	20.58	18.45	370.10	349.40	11.68	14.50	49.01	60.85	500.40	1201.00	0.06	94.40	2.50	0.55
18	7/2/1998 0:00:00	12/30/1899 15:28:01	2.00	62.69	16.70	0.24	219.00	2.37	1.05	6.00	0.00	1.42	19.24	20.46	18.47	370.30	349.30	11.65	14.45	49.11	60.95	500.40	1200.00	0.38	94.41	2.50	0.55
16	7/2/1998 0:00:00	12/30/1899 15:30:24	1.00	128.93	12.20	0.14	200.00	1.69	1.17	6.00	0.00	1.42	19.03	20.56	18.05	365.50	350.10	11.31	13.32	48.34	56.89	500.40	1200.00	0.45	94.41	2.50	0.55
16	7/2/1998 0:00:00	12/30/1899 15:30:24	2.00	158.93	12.30	0.14	199.00	1.67	1.16	6.00	0.00	1.42	18.93	20.43	18.08	365.50	350.10	11.27	13.24	48.45	56.94	500.40	1200.00	1.39	94.41	2.50	0.55
16	7/2/1998 0:00:00	12/30/1899 15:05:47	1.00	42.96	2.56	0.14	313.00	1.38	1.00	6.00	0.00	1.42	19.31	18.65	18.68	353.90	350.30	10.62	12.25	44.60	51.45	500.40	49.14	0.15	94.41	2.50	0.55
16	7/2/1998 0:00:00	12/30/1899 15:05:47	2.00	75.96	2.82	0.13	308.00	1.33	0.99	6.00	0.00	1.42	18.88	18.56	17.93	353.80	349.80	10.66	12.23	45.97	52.74	500.40	49.15	1.03	94.41	2.50	0.55
17	7/2/1998 0:00:00	12/30/1899 15:23:48	1.00	98.94	16.50	0.26	228.00	2.43	1.02	6.00	0.00	1.42	18.65	20.39	17.29	371.40	350.60	11.80	14.67	51.64	64.19	500.50	1201.00	0.44	94.40	2.50	0.55
17	7/2/1998 0:00:00	12/30/1899 15:23:48	2.00	132.69	15.90	0.25	232.00	2.38	1.01	6.00	0.00	1.42	18.54	20.28	17.29	371.30	351.20	11.78	14.59	51.90	64.28	500.20	1201.00	0.34	94.40	2.50	0.55
10	7/2/1998 0:00:00	12/30/1899 14:04:13	1.00	87.46	10.10	0.19	251.00	1.90	1.04	6.00	0.00	1.42	16.47	18.24	15.36	361.70	348.80	9.04	11.29	45.37	56.70	500.40	1199.00	0.73	94.40	2.50	0.55
10	7/2/1998 0:00:00	12/30/1899 14:04:13	2.00	121.21	10.30	0.19	248.00	1.89	1.03	6.00	0.00	1.42	16.44	18.17	15.36	361.60	348.40	9.04	11.29	45.50	56.79	500.30	1200.00	0.35	94.40	2.50	0.55
12	7/2/1998 0:00:00	12/30/1899 14:18:34	1.00	19.95	12.70	0.28	264.00	2.24	0.87	6.00	0.00	1.42	16.39	18.35	14.76	368.40	352.30	10.52	13.17	53.09	66.48	500.30	1199.00	0.31	94.41	2.50	0.55
12	7/2/1998 0:00:00	12/30/1899 14:18:34	2.00	44.70	10.60	0.28	276.00	2.22	0.86	6.00	0.00	1.42	16.33	18.26	14.77	363.80	350.20	10.51	13.14	53.28	66.58	500.40	1200.00	0.26	94.41	2.50	0.55
20	7/2/1998 0:00:00	12/30/1899 15:34:21	1.00	92.68	15.20	0.28	243.00	2.63	1.03	6.00	0.00	1.42	18.56	20.27	17.25	367.90	348.50	11.26	14.37	49.54	63.22	500.30	1200.00	0.23	94.41	2.50	0.55
20	7/2/1998 0:00:00	12/30/1899 15:34:21	2.00	147.43	15.50	0.29	245.00	2.64	1.01	6.00	0.00	1.42	18.39	20.19	17.12	369.70	350.00	11.34	14.46	50.47	64.33	500.30	1200.00	0.16	94.40	2.50	0.55
11	7/2/1998 0:00:00	12/30/1899 14:02:10	1.00	26.71	7.75	0.28	295.00	2.44	0.94	6.00	0.00	1.42	16.55	17.99	15.56	361.50	351.20	9.00	11.89	44.99	59.42	500.40	1199.00	0.20	94.41	2.50	0.55
11	7/2/1998 0:00:00	12/30/1899 14:02:10	2.00	52.21	8.33	0.28	291.00	2.44	0.94	6.00	0.00	1.42	16.54	18.00	15.57	361.40	350.40	9.01	11.90	45.02	59.47	500.20	1199.00	0.26	94.41	2.50	0.55
7	7/2/1998 0:00:00	12/30/1899 14:12:29	1.00	110.95	11.50	0.30	277.00	2.52	0.92	6.00	0.00	1.42	16.87	18.86	15.02	367.40	352.60	10.34	13.32	50.61	65.21	500.30	1199.00	1.06	94.41	2.50	0.55
7	7/2/1998 0:00:00	12/30/1899 14:12:29	2.00	131.20	10.90	0.30	277.00	2.49	0.92	6.00	0.00	1.42	16.74	18.84	14.87	363.50	349.40	10.40	13.34	51.31	65.86	500.40	1199.00	0.53	94.41	2.50	0.55
19	7/2/1998 0:00:00	12/30/1899 15:38:34	1.00	94.93	15.70	0.21	211.00	2.21	1.11	6.00	0.00	1.42	19.48	20.73	18.20	368.00	348.40	11.69	14.30	48.57	59.44	500.50	1201.00	1.17	94.40	2.50	0.55
19	7/2/1998 0:00:00	12/30/1899 15:38:34	2.00	129.43	15.10	0.21	217.00	2.17	1.09	6.00	0.00	1.42	19.19	20.64	17.87	369.90	350.90	11.74	14.31	49.69	60.54	500.30	1200.00	0.11	94.40	2.50	0.55
17	7/2/1998 0:00:00	12/30/1899 14:56:59	1.00	108.22	3.12	0.21	318.00	1.84	0.93	6.00	0.00	1.42	19.29	18.20	19.18	354.20	349.70	10.18	12.35	42.78	51.92	500.40	49.61	0.64	94.40	2.50	0.55
17	7/2/1998 0:00:00	12/30/1899 14:56:59	2.00	156.96	2.71	0.20	321.00	1.84	0.93	6.00	0.00	1.42	19.18	18.21	19.08	354.10	350.00	10.15	12.32	42.96	52.15	500.40	49.96	0.52	94.41	2.50	0.55
9	7/2/1998 0:00:00	12/30/1899 13:55:40	1.00	121.22	4.51	0.06	231.00	0.81	1.20	6.00	0.00	1.42	15.78	18.41	13.90	356.20	350.40	8.85	9.82	46.45	51.56	498.50	1199.00	0.27	94.41	2.50	0.55
9	7/2/1998 0:00:00	12/30/1899 13:55:40	2.00	151.22	4.70	0.06	224.00	0.79	1.19	6.00	0.00	1.42	15.63	18.39	13.99	356.20	350.20	8.89	9.84	47.08	52.10	500.40	1200.00	0.11	94.40	2.50	0.55
8	7/2/1998 0:00:00	12/30/1899 14:09:28	1.00	34.95	10.20	0.29	279.00	2.39	0.89	6.00	0.00	1.42	16.25	18.22	14.77	361.20	348.00	9.91	12.73	50.45	64.84	500.20	1199.00	0.11	94.41	2.50	0.55
8	7/2/1998 0:00:00	12/30/1899 14:09:28	2.00	61.95	10.40	0.29	280.00	2.39	0.89	6.00	0.00	1.42	16.23	18.23	14.78	364.50	350.90	9.94	12.76	50.65	65.06	500.40	1200.00	0.15	94.41	2.50	0.55
18	7/2/1998 0:00:00	12/30/1899 15:02:04	1.00	83.71	3.53	0.25	321.00	2.05	0.88	6.00	0.00	1.42	18.78	18.18	18.30	357.30	352.20	10.36	12.78	44.95	55.47	500.30	50.40	0.05	94.40	2.50	0.55
18	7/2/1998 0:00:00	12/30/1899 15:02:04	2.00	120.46	3.00	0.25	321.00	2.03	0.88	6.00	0.00	1.42	18.73	18.20	18.04	353.00	348.50	10.43	12.83	45.41	55.88	500.30	49.49	0.23	94.40	2.50	0.55
19	7/2/1998 0:00:00	12/30/1899 14:49:24	1.00	99.67	3.46	0.20	312.00	1.62	0.85	6.00	0.00	1.42	18.60	17.70	18.69	352.80	348.00	10.54	12.45	46.28	54.68	500.50	49.22	0.11	94.41	2.50	0.55
19	7/2/1998 0:00:00	12/30/1899 14:49:24	2.00	152.16	3.18	0.20	316.00	1.65	0.87	6.00	0.00	1.42	18.84	17.82	19.13	354.20	349.70	10.50	12.46	45.41	53.88	500.30	49.42	0.28	94.41	2.50	0.55
153	7/30/1999 0:00:00	12/30/1899 13:35:32	1.00	93.51	11.00	0.36	287.00	4.43	1.26	1.00	0.00	2.43	20.69	20.83	20.05	350.70	348.10	12.14	13.02	46.07	49.38	500.60	49.60	0.13	92.88	1.40	0.02
153	7/30/1999 0:00:00	12/30/1899 13:35:32	2.00	104.76	3.69	0.40	325.00	5.12	1.34	1.00	0.00	2.43	20.68	20.84	20.05	350.90	349.80	11.19	12.20	42.46	46.30	500.10	49.58	0.41	92.88	1.40	0.02
154	7/30/1999 0:00:00	12/30/1899 13:20:07	1.00	76.52	-2.75	0.41	349.00	6.84	1.74	1.00	0.00	2.43	23.47	24.92	21.59	347.70	347.80	13.98	15.32	44.75	49.05	500.60	51.18	0.57	92.88	1.40	0.02
154	7/30/1999 0:00:00	12/30/1899 13:20:07	2.00	95.27	0.65	0.64	338.00	10.00	1.79	1.00	0.00	2.43	23.29	24.74	21.43	351.70	350.90	12.45	14.43	40.31	46.69	500.60	51.38	1.13	92.88	1.40	0.02
156	7/30/1999 0:00:00	12/30/1899 13:40:25	1.00	87.00	3.46	0.22	312.00	2.47	1.09	1.00	0.00	2.43	20.67	20.72	20.06	345.50	344.60	14.21	14.70	53.96	55.80	500.60	50.37	0.16	92.88	1.40	0.02
156	7/30/1999 0:00:00	12/30/1899 13:40:25	2.00	108.75	-0.81	0.31	344.00	3.49	1.13	1.00	0.00	2.43	20.70		20.06	345.90	345.80	13.61	14.30	51.59	54.19	500.60	50.29	0.53	92.88	1.40	0.02
156	7/30/1999 0:00:00	12/30/1899 13:40:25	3.00	130.50	7.12	0.34	300.00	3.56	1.08	1.00	0.00	2.43	20.74	20.90	20.06	345.30	343.60	14.34	15.04	54.23	56.89	500.50	50.32	0.71	92.88	1.40	0.02
158	7/30/1999 0:00:00	12/30/1899 13:52:17	1.00	121.24	7.01	0.46	309.00	5.58	1.31	1.00	0.00	2.43	21.21	21.73	20.04	345.80	344.10	12.94	14.04	47.53	51.56	500.50	49.30	0.56	92.89	1.40	0.02
158	7/30/1999 0:00:00	12/30/1899 13:52:17	2.00	175.24	6.40	0.38	307.00	4.77	1.30	1.00	0.00	2.43	21.21	21.70	20.04	346.40	344.80	13.08	14.02	48.05	51.50	500.60	49.16	0.15	92.88	1.40	0.02
155	7/30/1999 0:00:00	12/30/1899 13:24:43	1.00	49.52	9.73	4.12	332.00	19.30	1.15	1.00	0.00	2.43	21.43	22.13	20.02	350.60	347.30	12.66	16.46	45.90	59.64	500.60	50.97	0.16	92.88	1.40	0.02
155	7/30/1999 0:00:00	12/30/1899 13:24:43	2.00	219.77	9.62	2.19	331.00	13.60	1.07	1.00	0.00	2.43	20.93	21.02	20.03	352.00	349.20	12.67	15.34	47.34	57.35	500.50	49.03	0.70	92.88	1.40	0.02
157	7/30/1999 0:00:00	12/30/1899 13:47:51	1.00	58.00	3.72	0.76	332.00	8.79	1.37	1.00	0.00	2.43	21.31	22.37	20.05	350.70	349.30	12.74	14.47	46.52	52.84	500.30	49.66	0.39	92.89	1.40	0.02
157	7/30/1999 0:00:00	12/30/1899 13:47:51	2.00	130.75	3.59	0.87	334.00	10.30	1.46	1.00	0.00	2.43	21.29	22.26	20.06	352.80	351.30	11.30	13.33	41.31	48.75	500.60	49.73	0.06	92.88	1.40	0.02
110	7/28/1999 0:00:00	12/30/1899 12:24:10	1.00	141.33	-0.93	0.44	342.00	3.61	0.88	1.00	0.00	2.43	19.32	18.56	19.28	343.60	343.50	12.81	13.52	53.12	56.06	500.60	50.91	0.01	93.24	1.10	-0.01
110	7/28/1999 0:00:00	12/30/1899 12:24:10	2.00	210.33	-4.59	0.31	362.00	2.69	0.89	1.00	0.00	2.43	19.41	18.72	19.38	340.50	341.30	13.13	13.66	54.09	56.27	500.60	50.86	0.67	93.24	1.10	-0.01
162	7/30/1999 0:00:00	12/30/1899 12:27:03	1.00	57.22	-4.75	0.10	417.00	2.01	1.83	1.00	0.00	2.43	25.54	25.02	25.40	352.70	353.50	14.15	14.54	40.04	41.16	500.60	50.80	1.08	92.88	1.40	0.02
162	7/30/1999 0:00:00	12/30/1899 12:27:03	2.00	78.97	-5.68	0.19	391.00	3.78	1.86	1.00	0.00	2.43	25.64	25.07	25.52	353.30	354.20	13.57	14.32	38.15	40.25	500.50	51.10	0.33	92.88	1.40	0.02
164	7/30/1999 0:00:00	12/30/1899 12:37:40	1.00	71.96	-3.85	0.43	356.00	8.73	2.15	1.00	0.00	2.43	28.14	27.10	28.19	352.80	352.90	13.87	15.59	33.67	37.84	500.40	49.13	0.08	92.89	1.40	0.02
164	7/30/1999 0:00:00	12/30/1899 12:37:40	2.00	89.21	-1.09	0.32	346.00	6.96	2.17	1.00	0.00	2.43	28.16	27.12	28.22	353.60	353.30	14.10	15.47	34.19	37.51	500.40	49.51	0.56	92.89	1.40	0.02
159	7/30/1999 0:00:00	12/30/1899 12:53:08	1.00	130.94	-5.97	0.34	369.00	7.71	2.33	1.00	0.00	2.43	29.04	27.90	29.17	351.40	352.00	14.00	15.51	32.24	35.73	500.50	51.28	0.19	92.88	1.40	0.02
159	7/30/1999 0:00:00	12/30/1899 12:53:08	2.00	180.44	0.65	0.15	331.00	3.87	2.42	1.00	0.00	2.43	29.25	28.07	29.39	352.90	352.50	14.20	14.97	32.33	34.07	500.60	51.09	0.63	92.88	1.40	0.02
161	7/30/1999 0:00:00	12/30/1899 12:43:01	1.00	102.70	-2.04	0.26	356.00	5.05	1.91	1.00	0.00	2.43	27.57	26.05	27.85	354.00	354.10	14.90	15.89	37.39	39.88	500.50	49.35	0.41	92.88	1.40	0.02
161	7/30/1999 0:00:00	12/30/1899 12:43:01	2.00	113.20	1.91	0.39	334.00	6.93	1.87	1.00	0.00	2.43	27.56	26.05	27.83	354.70	353.80	14.99	16.35	37.65	41.07	500.40	49.35	0.41	92.88	1.40	0.02
160	7/30/1999 0:00:00	12/30/1899 12:58:03	1.00	99.19	-2.37	0.35	345.00	8.48	2.45	1.00	0.00	2.43	29.42	28.65	29.70	347.90	347.80	14.38	16.04	32.41	36.17	501.00	2445.00	0.57	92.88	1.40	0.02
160	7/30/1999 0:00:00	12/30/1899 12:58:03	2.00	164.44	2.56	0.52	327.00	11.00	2.30	1.00	0.00	2.43	29.40	27.90	29.64	350.90	349.60	13.68	15.84	30.88	35.75	500.70	50.75	0.42	92.89	1.40	0.02
108	7/28/1999 0:00:00	12/30/1899 11:41:59	1.00	192.93	2.56	0.27	329.00	2.17	0.81	1.00	0.00	2.43	18.21	17.49	18.20	350.50	349.90	12.40	12.83	55.11	57.01	500.50	49.07	0.11	93.26	1.10	-0.01
108	7/28/1999 0:00:00	12/30/1899 11:41:59	2.00	204.93	-0.89	0.18	356.00	1.51	0.82	1.00	0.00	2.43	18.22	17.50	18.21	352.10	352.20	12.38	12.68	54.99	56.31	500.50	49.38	0.08	93.26	1.10	-0.01
163	7/30/1999 0:00:00	12/30/1899 12:30:19	1.00	47.97	-11.80	0.48	395.00	7.36	1.66	1.00	0.00	2.43	26.43	25.48	26.36	357.80	359.60	15.91	17.35	42.70	46.57	500.50	49.15	0.12	92.88	1.40	0.02
163	7/30/1999 0:00:00	12/30/1899 12:30:19	2.00	62.97	-5.34	0.24	385.00	4.28	1.74	1.00	0.00	2.43	26.49	25.50	26.44	357.90	358.70	15.68	16.53	41.93	44.18	500.60	49.15	0.12	92.88	1.40	0.02
163	7/30/1999 0:00:00	12/30/1899 12:30:19	3.00	104.22	-0.57	0.17	355.00	3.15	1.78	1.00	0.00	2.43	26.72	26.16	26.65	360.60	360.50	16.93	17.55	44.67	46.30	500.50	1131.00	0.85	92.88	1.40	0.02
107	7/28/1999 0:00:00	12/30/1899 11:33:06	1.00	9.19	10.70	5.4e-03	-2810.00	0.04	0.71	1.00	0.00	2.43	17.68	16.89	17.70	349.10	347.00	12.99	13.00	59.67	59.71	500.40	49.50	0.05	93.28	1.10	-0.01
107	7/28/1999 0:00:00	12/30/1899 11:33:06	2.00	42.94	4.59	0.10	273.00	0.81	0.75	1.00	0.00	2.43	17.67	16.88	17.71	351.30	350.40	12.46	12.62	57.30	58.04	500.30	49.65	1.11	93.28	1.10	-0.01
107	7/28/1999 0:00:00	12/30/1899 11:33:06	3.00	70.69	-3.61	0.15	382.00	1.22	0.74	1.00	0.00	2.43	17.67	16.88	17.70	347.50	348.20	12.41	12.66	57.10	58.20	500.30	49.63	0.00	93.28	1.10	-0.01
109	7/28/1999 0:00:00	12/30/1899 12:21:03	1.00	68.08	-0.70	0.30	345.00	2.76	0.93	1.00	0.00	2.43	19.02	18.47	18.92	346.70	346.60	12.32	12.86	52.03	54.33	500.50	48.79	0.77	93.24	1.10	-0.01
109	7/28/1999 0:00:00	12/30/1899 12:21:03	2.00	88.33	2.70	0.17	314.00	1.65	0.94	1.00	0.00	2.43	19.04	18.45	18.95	347.30	346.60	12.38	12.71	52.22	53.59	500.40	48.99	0.13	93.24	1.10	-0.01
106	7/28/1999 0:00:00	12/30/1899 11:28:38	1.00	88.94	9.66	0.03	-55.30	0.32	0.76	1.00	0.00	2.43	17.76	17.13	17.73	350.30	348.30	12.71	12.78	58.12	58.41	500.50	50.55	0.19	93.28	1.10	-0.01
106	7/28/1999 0:00:00	12/30/1899 11:28:38	2.00	107.69	3.37	-6.48e-05	83100.00	-5.42e-04	0.76	1.00	0.00	2.43	17.75	17.12	17.73	350.20	349.50	12.78	12.78	58.48	58.48	500.50	51.06	0.24	93.28	1.10	-0.01
111	7/28/1999 0:00:00	12/30/1899 12:33:35	1.00	144.07	-5.82	0.34	365.00	3.16	0.96	1.00	0.00	2.43	20.27	19.61	20.25	339.90	340.90	13.64	14.27	53.30	55.73	500.40	49.24	0.97	93.23	1.10	-0.01
111	7/28/1999 0:00:00	12/30/1899 12:33:35	2.00	162.07	0.50	0.45	334.00	4.09	0.97	1.00	0.00	2.43	20.28	19.61	20.27	342.00	341.60	13.36	14.17	52.16	55.31	500.50	49.36	0.33	93.23	1.10	-0.01
121	7/28/1999 0:00:00	12/30/1899 13:45:03	1.00	60.65	2.02	-0.03	429.00	-0.42	1.06	1.00	0.00	2.43	19.82	19.15	19.82	347.00	346.70	12.57	12.49	50.48	50.15	500.60	49.59	0.11	93.18	1.10	-0.01
121	7/28/1999 0:00:00	12/30/1899 13:45:03	2.00	80.90	2.50	0.03	210.00	0.35	1.06	1.00	0.00	2.43	19.81	19.15	19.81	347.00	346.50	12.40	12.47	49.83	50.11	500.40	49.61	0.30	93.18	1.10	-0.01
171	7/30/1999 0:00:00	12/30/1899 15:01:43	1.00	72.21	-2.48	-0.14	321.00	-2.06	1.25	1.00	0.00	2.43	20.40	20.09	20.06	354.80	355.40	12.36	11.95	47.72	46.16	500.80	49.01	0.16	92.89	1.50	0.15
171	7/30/1999 0:00:00	12/30/1899 15:01:43	2.00	164.45	4.30	-0.14	389.00	-2.21	1.30	1.00	0.00	2.43	20.26	19.72	20.05	353.40	352.70	11.23	10.79	43.75	42.04	500.60	48.99	0.11	92.88	1.50	0.15
175	7/30/1999 0:00:00	12/30/1899 15:32:32	1.00	47.96	-2.35	0.08	377.00	2.74	2.90	1.00	0.00	2.43	29.85	29.38	29.74	351.70	351.90	12.45	13.00	27.37	28.56	500.50	49.67	0.13	92.85	0.90	1.14
175	7/30/1999 0:00:00	12/30/1899 15:32:32	2.00	61.46	-0.58	0.07	347.00	2.37	2.91	1.00	0.00	2.43	29.88	29.34	29.79	352.10	352.10	12.36	12.83	27.13	28.16	500.60	49.96	0.28	92.85	0.90	1.14
174	7/30/1999 0:00:00	12/30/1899 15:14:16	1.00	116.44	1.52	-0.39	349.00	-7.61	1.48	1.00	0.00	2.43	20.90	21.26	20.05	352.50	352.80	12.93	11.43	48.41	42.78	500.60	49.25	0.04	92.87	1.50	0.15
174	7/30/1999 0:00:00	12/30/1899 15:14:16	2.00	174.94	1.43	-0.29	350.00	-5.33	1.43	1.00	0.00	2.43	20.90	21.22	20.06	351.70	351.80	12.85	11.80	48.12	44.18	500.60	49.28	0.41	92.86	1.50	0.15
173	7/30/1999 0:00:00	12/30/1899 15:07:05	1.00	26.20	3.34	-0.29	361.00	-5.14	1.40	1.00	0.00	2.43	20.28	19.94	20.06	353.70	353.40	11.10	10.09	43.19	39.24	500.70	49.89	0.30	92.88	1.50	0.15
173	7/30/1999 0:00:00	12/30/1899 15:07:05	2.00	50.95	1.74	-0.34	354.00	-5.81	1.34	1.00	0.00	2.43	20.30	19.93	20.05	355.70	355.70	11.89	10.74	46.20	41.73	500.60	50.02	0.27	92.89	1.50	0.15
118	7/28/1999 0:00:00	12/30/1899 14:09:37	1.00	61.13	-0.95	0.19	349.00	3.22	1.60	1.00	0.00	2.43	23.93	23.31	23.87	350.30	350.20	13.06	13.70	40.81	42.79	500.40	51.01	0.06	93.15	1.10	-0.01
118	7/28/1999 0:00:00	12/30/1899 14:09:37	2.00	72.38	2.88	0.30	325.00	4.86	1.62	1.00	0.00	2.43	23.94	23.32	23.89	351.50	350.60	12.56	13.52	39.20	42.20	500.40	51.02	0.57	93.15	1.10	-0.01
172	7/30/1999 0:00:00	12/30/1899 14:50:45	1.00	64.97	-1.76	0.02	449.00	0.41	1.43	1.00	0.00	2.43	20.67	20.75	20.04	353.70	354.00	11.02	11.10	41.87	42.18	500.60	50.80	0.34	92.89	1.50	0.15
172	7/30/1999 0:00:00	12/30/1899 14:50:45	2.00	163.21	-1.15	-0.15	334.00	-2.32	1.31	1.00	0.00	2.43	20.42	20.21	20.05	353.70	354.10	11.90	11.44	45.88	44.12	500.60	50.81	0.61	92.89	1.50	0.15
120	7/28/1999 0:00:00	12/30/1899 13:53:06	1.00	103.40	1.45	0.20	327.00	2.46	1.20	1.00	0.00	2.43	21.40	21.11	21.18	346.90	346.40	13.62	14.10	49.61	51.38	500.60	50.66	0.38	93.17	1.10	-0.01
120	7/28/1999 0:00:00	12/30/1899 13:53:06	2.00	111.65	-0.45	6.87e-03	444.00	0.08	1.17	1.00	0.00	2.43	21.44	21.15	21.23	345.60	345.70	14.44	14.45	52.45	52.51	500.50	50.68	0.20	93.17	1.10	-0.01
120	7/28/1999 0:00:00	12/30/1899 13:53:06	3.00	152.90	2.96	0.34	324.00	4.04	1.23	1.00	0.00	2.43	21.67	21.38	21.46	347.50	346.60	13.46	14.26	48.23	51.08	500.50	50.62	0.48	93.16	1.10	-0.01
122	7/28/1999 0:00:00	12/30/1899 13:38:53	1.00	218.41	4.37	0.15	292.00	1.71	1.09	1.00	0.00	2.43	19.92	19.20	19.94	347.50	346.50	11.95	12.29	47.68	49.02	500.50	50.18	0.64	93.18	1.10	-0.01
122	7/28/1999 0:00:00	12/30/1899 13:38:53	2.00	254.41	5.16	-3.0e-03	3070.00	-0.03	1.06	1.00	0.00	2.43	19.90	19.17	19.92	347.20	346.20	12.59	12.59	50.32	50.30	500.10	49.79	0.44	93.19	1.10	-0.01
176	7/30/1999 0:00:00	12/30/1899 15:25:26	1.00	50.97	6.60	0.01	-595.00	0.27	2.23	1.00	0.00	2.43	26.36	26.14	26.16	358.30	356.90	12.55	12.60	33.80	33.95	500.70	49.61	0.34	92.85	0.90	1.14
176	7/30/1999 0:00:00	12/30/1899 15:25:26	2.00	80.22	0.67	-0.02	393.00	-0.53	2.31	1.00	0.00	2.43	26.65	26.49	26.45	356.70	356.70	12.65	12.55	33.50	33.22	500.50	49.34	0.02	92.85	0.90	1.14
119	7/28/1999 0:00:00	12/30/1899 13:58:52	1.00	177.39	6.67	0.22	289.00	3.36	1.48	1.00	0.00	2.43	23.00	22.18	22.99	350.10	348.60	12.24	12.91	40.44	42.63	500.30	50.72	0.15	93.15	1.10	-0.01
119	7/28/1999 0:00:00	12/30/1899 13:58:52	2.00	251.64	4.99	0.21	299.00	3.10	1.44	1.00	0.00	2.43	23.16	22.24	23.16	349.10	347.90	12.80	13.41	41.89	43.89	500.60	50.68	0.19	93.16	1.10	-0.01
123	7/28/1999 0:00:00	12/30/1899 13:29:19	1.00	126.42	-0.40	-0.07	332.00	-0.91	1.14	1.00	0.00	2.43	20.40	19.50	20.51	348.10	348.20	12.31	12.13	47.71	47.01	500.40	51.04	0.39	93.20	1.10	-0.01
123	7/28/1999 0:00:00	12/30/1899 13:29:19	2.00	157.17	-0.09	-0.01	330.00	-0.17	1.17	1.00	0.00	2.43	20.35	19.44	20.45	348.00	348.00	11.81	11.77	45.88	45.75	500.50	51.13	0.20	93.20	1.10	-0.01
88	7/25/1999 0:00:00	12/30/1899 11:57:51	1.00	4.91	3.94	1.76	348.00	7.48	0.67	1.00	0.00	2.43	18.79	13.81	20.07	358.60	357.20	8.29	9.77	35.51	41.85	500.70	48.79	0.41	93.28	-0.30	0.72
88	7/25/1999 0:00:00	12/30/1899 11:57:51	2.00	46.91	1.81	1.51	349.00	8.86	0.87	1.00	0.00	2.43	18.85	15.83	20.08	358.30	357.30	8.22	9.97	35.08	42.56	500.60	48.82	1.36	93.29	-0.30	0.72
