"treenum"	"date"	"HMS"	"obsnum"	"time"	"photo"	"cond"	"ci"	"trmmol"	"VpdL"	"Area"	"StmRat"	"BLCond"	"Tair"	"Tleaf"	"TBlk"	"CO2R"	"CO2S"	"H2OR"	"H2OS"	"RH_R"	"RH_S"	"Flow"	"PARi"	"PARo"	"Press"	"C2Mch"	"H2Mch"
218	6/23/2000 0:00:00	12/30/1899 8:33:23	2.00	95.10	2.46	0.24	336.00	1.98	0.79	1.00	1.00	4.86	14.72	14.31	13.98	358.40	357.80	8.65	9.04	47.96	50.14	499.90	50.00	3.00	93.18	2.12	0.14
219	6/23/2000 0:00:00	12/30/1899 8:38:18	1.00	70.10	18.80	0.29	236.00	1.92	0.64	1.00	1.00	4.86	14.57	13.88	14.00	352.10	348.20	9.79	10.17	54.83	56.96	499.90	51.00	1.00	93.18	2.12	0.14
219	6/23/2000 0:00:00	12/30/1899 8:38:18	2.00	78.30	14.30	0.11	150.00	0.80	0.63	1.00	1.00	4.86	14.54	13.82	14.00	350.60	347.70	10.04	10.19	56.30	57.19	500.00	51.00	3.00	93.19	2.12	0.14
220	6/23/2000 0:00:00	12/30/1899 8:44:56	1.00	72.30	10.70	0.97	332.00	6.18	0.69	1.00	1.00	4.86	14.55	13.92	13.99	359.30	356.80	8.42	9.64	47.19	54.05	499.90	50.00	1.00	93.16	2.12	0.14
220	6/23/2000 0:00:00	12/30/1899 8:44:56	2.00	88.10	8.83	1.03	338.00	6.60	0.71	1.00	1.00	4.86	14.55	13.93	14.00	360.70	358.40	8.15	9.46	45.72	53.04	500.10	50.00	2.00	93.16	2.12	0.14
220	6/23/2000 0:00:00	12/30/1899 8:44:56	3.00	106.10	7.36	0.84	338.00	5.59	0.71	1.00	1.00	4.86	14.54	13.89	14.01	359.90	358.00	8.33	9.44	46.72	52.93	500.20	50.00	1.00	93.16	2.12	0.14
221	6/23/2000 0:00:00	12/30/1899 8:49:32	1.00	14.10	12.10	0.30	283.00	2.09	0.66	1.00	1.00	4.86	14.44	13.29	13.99	355.70	353.10	8.92	9.33	50.33	52.67	499.80	48.00	1.00	93.17	2.12	0.14
221	6/23/2000 0:00:00	12/30/1899 8:49:32	2.00	56.10	11.70	0.35	295.00	2.46	0.68	1.00	1.00	4.86	14.42	13.42	13.98	356.60	354.10	8.77	9.26	49.57	52.33	500.00	51.00	2.00	93.16	2.12	0.14
180	6/21/2000 0:00:00	12/30/1899 10:27:41	1.00	176.50	6.50	0.23	303.00	3.27	1.30	1.00	1.00	4.86	20.98	21.71	20.05	357.90	356.40	13.40	14.05	49.90	52.30	499.80	49.00	1.00	92.78	2.93	0.84
180	6/21/2000 0:00:00	12/30/1899 10:27:41	2.00	186.20	4.54	0.13	292.00	1.81	1.29	1.00	1.00	4.86	20.95	21.70	20.02	357.40	356.40	13.80	14.16	51.49	52.81	499.90	49.00	1.00	92.78	2.93	0.84
181	6/21/2000 0:00:00	12/30/1899 10:38:54	1.00	130.20	1.45	0.46	341.00	5.92	1.28	1.00	1.00	4.86	21.32	22.38	20.04	354.90	354.20	14.35	15.51	52.31	56.57	499.50	51.00	2.00	92.78	2.93	0.84
181	6/21/2000 0:00:00	12/30/1899 10:38:54	2.00	204.40	7.58	0.40	315.00	5.37	1.31	1.00	1.00	4.86	21.31	22.28	20.04	356.40	354.50	13.95	15.01	50.88	54.74	499.60	51.00	2.00	92.78	2.93	0.84
182	6/21/2000 0:00:00	12/30/1899 10:45:26	1.00	666.10	31.20	0.65	261.00	11.20	1.75	1.00	1.00	4.86	22.05	24.44	20.04	361.70	354.60	12.10	14.31	42.19	49.87	499.70	1200.00	2.00	92.77	2.93	0.84
