species	origin	irr	gap.pos	transect	obs	photo	cond	trmmol	WUE
POTR	r	1200	SE	A3-4	4	8.315	0.238071429	1.437857143	0.16557377
POTR	r	1200	SE	A3-4	5	7.334166667	0.211785714	1.597857143	0.132543585
POTR	r	1200	SE	A3-4	6	6.897222222	0.167666667	1.548333333	0.108288482
POTR	r	50	 NE	B3-7	5	7.667905028	0.318281403	2.223930033	0.143116644
POTR	r	50	 NE	B3-7	6	2.768968343	0.280093801	2.415595725	0.115952267
POTR	r	1200	 NE	B3-7	1	13.75632278	0.300221743	3.136627147	0.095714833
POTR	r	1200	 NE	B3-7	2	16.98544093	0.272645343	3.154113811	0.086441187
POTR	r	1200	 NE	B3-7	3	16.22848031	0.242024638	3.362799842	0.07197117
POTR	r	1200	 NE	B3-7	4	19.20949344	0.304674879	3.600933281	0.084609976
POTR	r	1200	 NE	B3-7	5	17.40316448	0.278129722	3.406025379	0.081658147
POTR	r	1200	 NE	B3-7	6	18.50105483	0.299281336	3.403913222	0.087922728
POTR	r	50	C	B3-7	1	7.363811687	0.236769919	2.380807069	0.099449435
POTR	r	50	C	B3-7	2	3.024937229	0.288066163	2.473602356	0.116456132
POTR	r	50	C	B3-7	3	1.764979076	0.356593483	2.761676976	0.129122083
POTR	r	50	C	B3-7	4	1.271659692	0.348864494	2.406273278	0.144981244
POTR	r	50	C	B3-7	5	0.919886564	0.385716736	2.804948235	0.137512961
POTR	r	50	C	B3-7	6	1.033295521	0.410572245	3.023554174	0.135791265
POTR	r	1200	C	B3-7	1	12.37776517	0.300285987	2.230708534	0.134614622
POTR	r	1200	C	B3-7	2	17.62592172	0.350381043	2.300712369	0.152292415
POTR	r	1200	C	B3-7	3	19.47530724	0.388793681	2.452618409	0.15852188
POTR	r	1200	C	B3-7	4	19.15843575	0.378740751	2.523253755	0.150100144
POTR	r	1200	C	B3-7	5	22.58614525	0.532246917	2.632513157	0.202182054
POTR	r	1200	C	B3-7	6	22.62871508	0.545129925	2.703218671	0.201659574
POTR	r	50	NE	B3-7	1	7.020351609	0.247760445	2.811780598	0.088115142
POTR	r	50	NE	B3-7	2	3.180117203	0.233443958	2.768688771	0.084315709
POTR	r	50	NE	B3-7	3	1.235372401	0.181528938	2.160039114	0.084039653
POTR	r	50	NE	B3-7	4	0.644124134	0.243366789	2.534298752	0.096029242
POTR	r	50	NU	B3-7	1	1.654708045	0.248550834	2.499051965	0.09945805
POTR	r	50	NU	B3-7	2	1.268236015	0.251135992	2.670160179	0.094052782
POTR	r	50	NU	B3-7	3	1.412745338	0.318854855	2.778624822	0.114752755
POTR	r	50	NU	B3-7	4	0.992248446	0.285427809	2.829065417	0.100891201
POTR	r	50	NU	B3-7	5	1.387416149	0.157142603	1.771593234	0.088701289
POTR	r	50	NU	B3-7	6	2.04247205	0.171809439	1.870531078	0.09185062
POTR	r	1200	NU	B3-7	1	9.747490683	0.219269813	2.394938931	0.091555492
POTR	r	1200	NU	B3-7	2	13.64916356	0.250804223	2.726884405	0.091974644
POTR	r	1200	NU	B3-7	3	12.71638785	0.329887122	3.057532897	0.107893237
POTR	r	1200	NU	B3-7	4	15.57212928	0.277962374	2.813463347	0.098797226
POTR	r	1200	NU	B3-7	5	9.727376428	0.150939839	1.760678258	0.085728235
POTR	r	1200	NU	B3-7	6	10.54245881	0.156884708	1.975464181	0.07941663
POTR	r	50	SE	B3-7	1	3.566961662	0.199619013	2.095273541	0.095271099
POTR	r	50	SE	B3-7	2	2.938987221	0.204253957	2.252710228	0.09067032
POTR	r	50	SE	B3-7	3	2.656329074	0.231513224	2.528046266	0.091577922
POTR	r	50	SE	B3-7	4	2.585443025	0.24088536	2.616967803	0.092047506
POTR	r	50	SE	B3-7	5	3.078481008	0.233437977	3.126608315	0.074661727
POTR	r	50	SE	B3-7	6	2.416160336	0.219812659	2.767917057	0.079414467
POTR	r	1200	SE	B3-7	1	13.23872011	0.224413744	2.868353305	0.078237832
POTR	r	1200	SE	B3-7	2	16.94624004	0.231661724	2.896117768	0.079990436
POTR	r	1200	SE	B3-7	3	20.14874668	0.288649146	3.151086875	0.091603043
POTR	r	1200	SE	B3-7	4	20.68291556	0.296787811	3.03893372	0.097661824
POTR	r	1200	SE	B3-7	5	21.59430519	0.283786413	3.024406478	0.093832101
POTR	r	1200	SE	B3-7	6	19.33143506	0.265452614	2.976706921	0.089176604
POTR	r	50	SU	B3-7	1	5.247479043	0.107806584	1.101980273	0.097829868
POTR	r	50	SU	B3-7	2	6.12638656	0.181026128	1.631966062	0.11092518
POTR	r	50	SU	B3-7	3	6.535154062	0.209923538	1.800377182	0.116599755
POTR	r	50	SU	B3-7	4	6.361683785	0.178277219	1.55147048	0.114908547
POTR	r	50	SU	B3-7	5	4.453894595	0.220282882	1.708585398	0.128927054
POTR	r	50	SU	B3-7	6	5.740884985	0.216571324	1.74296348	0.124254654
POTR	r	1200	SU	B3-7	1	10.36243713	0.086848325	0.983083676	0.088342759
POTR	r	1200	SU	B3-7	2	12.54915968	0.183935528	1.741612472	0.105612202
POTR	r	1200	SU	B3-7	3	13.07546219	0.200342043	1.903988687	0.105222286
POTR	r	1200	SU	B3-7	4	12.44505135	0.19111737	1.851554299	0.103219965
POTR	r	1200	SU	B3-7	5	11.71796486	0.237427627	2.075242752	0.114409568
POTR	r	1200	SU	B3-7	6	11.67265495	0.228856828	1.988890441	0.115067589
POTR	s	50	C	A2-9	1	0.252698572	0.097508005	1.38424314	0.070441386
POTR	s	50	C	A2-9	1	5.231666302	0.151665953	1.317961684	0.115076147
POTR	s	50	C	A2-9	1	1.610110989	0.156221984	1.299796752	0.120189548
POTR	s	50	C	A2-9	2	0	0.049416954	0.762271523	0.064828546
POTR	s	50	C	A2-9	2	0.676703663	0.157407328	1.301837013	0.120911701
POTR	s	50	C	A2-9	2	0.826234554	0.158897681	1.255374242	0.126573953
POTR	s	50	C	A2-9	3	0.826633175	0.028094318	0.456433365	0.06155185
POTR	s	50	C	A2-9	3	0	0.092251608	0.81798189	0.112779524
POTR	s	50	C	A2-9	3	0	0.081274345	0.774565392	0.104928966
POTR	s	50	C	A2-9	4	0	0.102986687	0.837521797	0.122965978
POTR	s	50	C	A2-9	4	0.659114007	0.124471753	0.971554885	0.128116028
POTR	s	50	C	A2-9	5	0.810649113	0.104562013	0.854327819	0.122390973
POTR	s	50	C	A2-9	5	1.453716371	0.105663528	0.877156892	0.120461378
POTR	s	50	C	A2-9	6	0.72473879	0.095173557	0.833814202	0.114142403
